Date,Open,High,Low,Close,Volume
03/09/2024,38745.76,38967.56,38581.55,38686.31,912457400
04/09/2024,38039.91,38080.02,36879.33,37047.61,1444365400
05/09/2024,36536.25,37099.96,36359.23,36657.09,1112597700
06/09/2024,36815,36898.28,36235.61,36391.47,1117151100
09/09/2024,35805.82,36248.12,35247.87,36215.75,1181779000
10/09/2024,36386.12,36537.03,36001.58,36159.16,1122722400
11/09/2024,36029.9,36056.87,35253.43,35619.77,1276346900
12/09/2024,36185.62,36902.21,36172.26,36833.27,1262803200
13/09/2024,36882.41,36887.4,36441.34,36581.76,1159122900
17/09/2024,36601.93,36663.18,35828.54,36203.22,1272798400
18/09/2024,36546.04,36675.07,36127.45,36380.17,998930900
19/09/2024,36958.93,37394.52,36958.93,37155.33,1141438900
20/09/2024,37714.07,37974.72,37654.11,37723.91,1626259400
24/09/2024,38171.36,38427.15,37902.99,37940.59,1134769200
25/09/2024,37947.35,38109.24,37868.84,37870.26,1082165500
26/09/2024,38266.79,38925.63,38240.65,38925.63,1410493200
27/09/2024,39108.27,39829.56,38917.98,39829.56,1619357600
30/09/2024,39117.83,39126.36,37797.91,37919.55,1904679700
01/10/2024,38232.47,38718.13,38232.47,38651.97,1326603100
02/10/2024,38136.2,38213.54,37651.07,37808.76,1401083800
03/10/2024,38459.13,38856.75,38457.62,38552.06,1273152000
04/10/2024,38594.73,38735.29,38501.82,38635.62,1212147600
07/10/2024,39239.92,39560.78,39195.93,39332.74,1280383200
08/10/2024,39021.13,39117.09,38817.54,38937.54,1203779100
09/10/2024,39385.49,39456.28,39115.63,39277.96,1068107800
10/10/2024,39575.8,39616.59,39282.19,39380.89,1034986500
11/10/2024,39636.87,39668.93,39415.26,39605.8,1109312500
15/10/2024,40047.15,40257.34,39910.55,39910.55,1289708900
16/10/2024,39362.63,39362.63,39062.85,39180.3,1080848400
17/10/2024,39263.82,39299.74,38911.19,38911.19,1072107700
18/10/2024,39092.47,39186.64,38893.52,38981.75,956906800
21/10/2024,38960.2,39119.67,38775.59,38954.6,989674600
